TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2017-07-25 13:53:07.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:08.039,0.8263607346319913,0.9709070888675932,0.2697500283186126,1.003482349488863,0.4173874799792175,0.4324600973742821,-0.1602162044817031,0.3105708945161665,1.191548265801937,0.2669521341536814,0.07220486765927558,0.5398967276508649,1.104570107132174,0.3153340398138039,0.3005258905671823,0.6866329999343543,0.9357232182657045,0.1112750622469182,0.1138201665502849,0.4366192121874314,982.3443223443223,788.5347985347986,779.2673992673992,950.5128205128206,786.9230769230769,0.365356,0.302002,0.896851,-4.112244,14.265747,14.669495,1,1,1,1,1,82.703125
2017-07-25 13:53:08.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:08.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:09.042,0.8263607346319913,1.407722252617812,0.7458878981821213,1.003482349488863,0.4173874799792175,0.5277123337396584,0.03167802702689441,0.3105708945161665,1.191548265801937,0.5058675028019088,-0.0435666492796133,0.5398967276508649,1.104570107132174,0.2749825608567716,0.3563356597255141,0.6866329999343543,0.9357232182657045,0.01427865701817793,0.1949215402096659,0.4366192121874314,1011.758241758242,770.8058608058608,752.2710622710623,904.5787545787546,747.4358974358975,0.307129,0.267517,0.927917,-1.353302,-3.401947,1.667328,1,1,1,1,1,82.703125
2017-07-25 13:53:10.034,0.8263607346319913,1.444714629753433,1.141311408883807,1.003482349488863,0.4173874799792175,0.5226305494551844,0.2936704783534458,0.3105708945161665,1.191548265801937,0.6458809616342001,0.1402257770429307,0.5398967276508649,1.104570107132174,0.2006128294606099,0.3568490072706162,0.6866329999343543,0.9357232182657045,-0.09430456936626051,0.007853318002778352,0.4366192121874314,998.4615384615385,794.981684981685,777.2527472527473,914.2490842490843,744.6153846153846,0.326599,0.266724,0.912659,-2.938385,2.826233,3.656158,1,2,1,1,2,82.703125
2017-07-25 13:53:11.028,0.5534440129818525,0.3177911338169299,0.4906845541031171,0.3570520025833336,0.369417519515591,-0.4358834763786048,-0.1846704676729451,-0.07555905659625266,1.321821912153421,-0.06811892734872005,0.03702692911874053,0.6057162279756694,1.047903563751424,0.06205078087519336,0.2879275809845359,0.488801596033858,0.4902681045542563,-0.11970006835663,0.2088800701242805,0.3029988978609159,973.0769230769231,800.6227106227107,783.2967032967033,904.981684981685,763.956043956044,0.337524,0.260803,0.917603,-3.760834,4.269257,4.299164,1,1,1,1,1,82.703125
2017-07-25 13:53:11.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:11.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:12.024,0.652990593273663,0.6577410195089369,0.1679984650829154,0.3446321596167157,0.4923767172275886,0.1069997183141966,-0.2855470143906952,0.05045926197377475,1.273260235020763,0.4020855341830925,-0.0076408172523822,0.6524215291707657,1.029345125903826,0.1548867280422922,0.2094938757393051,0.4097050006156183,0.6782466481296568,0.02389948451420245,0.2144960351933051,0.2972431539879044,948.901098901099,772.014652014652,760.7326007326008,903.3699633699634,783.6996336996338,0.273499,0.131042,0.992981,-15.140533,17.226562,8.725433,1,1,1,1,1,82.703125
